col_id,id,likes_count,from_id,from_name,message,created_time,type,link,comments_count,shares_count,love_count,haha_count,wow_count,sad_count,angry_count,datetime,month,like_button,positive_reaction
71,184377348315163_1380087958744090,70,184e12,Ford UK,NA,2017-07-21T11:03:52Z,link,http://www.ibtimes.co.uk/ford-gt-has-25-computers-more-lines-code-f-35-lightning-fighter-jet-1631036?utm_source=social&utm_medium=facebook&utm_campaign=%2Fford-gt-has-25-computers-more-lines-code-f-35-lightning-fighter-jet-1631036,14,15,4,0,3,0,0,2017-07-21T11:03:52Z,2017-07,77,7
72,184377348315163_1380315075388045,1110,184e12,Ford UK,It's been quite a journey. Introducing the All-New Ford Fiesta.,2017-07-21T15:39:29Z,video,https://www.facebook.com/forduk/videos/1380315075388045/,314,360,79,10,6,7,3,2017-07-21T15:39:29Z,2017-07,1215,95
73,184377348315163_1383783525041200,6429,184e12,Ford UK,Team Sky had a yellow-themed Ford Focus RS as part of their team during this Le Tour de France. #TEAM5KY #F4OOME,2017-07-24T16:31:41Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1383783525041200/?type=3,120,129,138,7,41,0,0,2017-07-24T16:31:41Z,2017-07,6615,186
74,184377348315163_1390124191073800,203,184e12,Ford UK,"There are jumps, and then there are jumps. Which jump do you prefer between Ken Block or Andreas Bakkerud?",2017-07-31T11:04:22Z,video,https://www.facebook.com/forduk/videos/1390124191073800/,44,27,4,1,3,0,0,2017-07-31T11:04:22Z,2017-07,211,8
75,184377348315163_1394464873973065,1275,184e12,Ford UK,"Our Ford Mustang putting the GT in LGBT. Today we're at Brighton Pride 2017, so come and say hello.",2017-08-05T09:33:38Z,photo,https://www.facebook.com/forduk/photos/a.468797596539802.1073741853.184377348315163/1394464827306403/?type=3,180,325,183,24,28,5,18,2017-08-05T09:33:38Z,2017-08,1533,235
76,184377348315163_10155433787238820,195,184e12,Ford UK,"Tough weekend for Hoonigan at FIA World Rallycross Championship Canada. Great driving but Andreas Bakkerud missed the Semi-Final, and Ken Block missed the Final by just 1 position each.",2017-08-07T09:10:07Z,video,https://www.facebook.com/forduk/videos/10155433787238820/,0,20,3,0,0,0,0,2017-08-07T09:10:07Z,2017-08,198,3
77,184377348315163_1398552970230922,2504,184e12,Ford UK,Not long to go until our Ford GT is back in action. You'll next be able to see us in 6 Hours of Mexico on 8th September.,2017-08-09T12:59:28Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1398552690230950/?type=3,31,104,93,2,32,1,0,2017-08-09T12:59:28Z,2017-08,2632,127
78,184377348315163_1400281353391417,9817,184e12,Ford UK,"We all drive, but not all drives are equal.",2017-08-11T11:45:33Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1400278830058336/?type=3,614,581,1012,14,234,2,0,2017-08-11T11:45:33Z,2017-08,11079,1260
79,184377348315163_1403922979693921,427,184e12,Ford UK,This limited edition '67 Ford GT is <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>,2017-08-15T09:07:33Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1403922899693929/?type=3,31,48,52,0,18,0,1,2017-08-15T09:07:33Z,2017-08,498,70
80,184377348315163_10155464166318820,49,184e12,Ford UK,Watch how the Hoonigan Racing Division team transports Ken Block and Andreas Bakkerud's Focus RS RX between FIA World Rallycross Championship rounds.,2017-08-18T12:54:05Z,video,https://www.facebook.com/forduk/videos/10155464166318820/,3,5,0,0,0,0,0,2017-08-18T12:54:05Z,2017-08,49,0
